Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
CAPTURE_STATUS_NAME,Text,,PRIORITY FOR EXTRACTION AND CAPTURE,,PRIORITÉ POUR EXTRACTION,PRIORITÄT FÜR EVAKUIERUNG UND GEFANGENNAHME,,PRIORYTET EKSTRAKCJI I POJMANIA,ПРИОРИТЕТНЫЙ ЗАХВАТ,PRIORIDAD DE EXTRACCIÓN Y CAPTURA,
CAPTURE_STATUS_DESCRIPTION,Text,,This Pandoran has been marked for priority extraction at the end of this mission; it will be extracted even if more valuable Pandorans have been paralyzed.,,Ce Pandorien a été marqué pour extraction prioritaire à la fin de la mission ; il sera extrait même si d’autres Pandoriens plus précieux ont été paralysés.,"Dieser Pandoraner wurde für die vorrangige Extraktion am Missionsende markiert. Er wird extrahiert, auch wenn wertvollere Pandoraner gelähmt wurden.",,Ten Pandoran został oznaczony do priorytetowej ekstrakcji na końcu tej misji; zostanie wydobyty nawet wtedy,"Этот Пандоран был помечен для приоритетного захвата и погрузки в самолет в конце этой миссии. Он будет захвачен, даже если были парализованы и более ценные Пандораны.",Este Pandora ha sido marcado como prioritario para extracción al acabar la misión; será extraido incluso si se han paralizado Pandoras más valiosos.,
CANCEL_CAPTURE_NAME,Text,,CANCEL PRIORITY SKYHOOK EXTRACTION,,ANNULER EXTRACTION PRIORITAIRE,ABBRUCH PRIORITÄTSEVAKUIERUNG „SKYHOOK“,,ANULUJ PRIORYTETOWĄ EKSTRAKCJĘ SKYHOOKIEM,ОТМЕНИТЬ ЗАХВАТ,CANCELAR PRIORIDAD DE EXTRACCIÓN SKYHOOK,
CANCEL_CAPTURE_DESCRIPTION,Text,,Removes this paralyzed Pandoran from priority list for extraction at the end of the mission.,,Retire ce Pandorien paralysé de la liste des extractions prioritaires à la fin de la mission.,Pandoraner aus der Evakuierungs-Prioritätenliste entfernen.,,Usuwa tego sparaliżowanego Pandorana z listy priorytetowej ekstrakcji na końcu misji.,Убирает этого парализованного Пандорана из списка приоритетов для захвата в конце миссии.,Elimina este Pandora paralizado de la lista de extracción prioritaria al final de la misión.,
CAPTURE_CAPACITY_BASE,Text,,"FUNCTIONING CONTAINMENT FACILITY PRESENT, FULLY PARALYZED PANDORANS WILL BE CAPTURED",,"CENTRE DE CONFINEMENT OPÉRATIONNEL, LES PANDORIENS ENTIÈREMENT PARALYSÉS SERONT CAPTURÉS","FUNKTIONSFÄHIGE EINDÄMMUNGSEINRICHTUNG VORHANDEN, VOLLSTÄNDIG GELÄHMTE PANDORANER WERDEN GEFANGEN",,DZIAŁAJĄCY OŚRODEK IZOLACJI OBECNY,"ПРИ НАЛИЧИИ ФУНКЦИОНИРУЮЩЕГО ИЗОЛЯТОРА, ПОЛНОСТЬЮ ПАРАЛИЗОВАННЫЕ ПАНДОРАНЫ БУДУТ ЗАХВАЧЕНЫ","INSTALACIÓN DE CONTENCIÓN EN FUNCIONAMIENTO PRESENTE, LOS PANDORAS TOTALMENTE PARALIZADOS SERÁN CAPTURADOS",
CAPTURE_CAPACITY_AIRCRAFT,Text,,CAPTURE SPACE REMAINING:,,CAPACITÉ DE CAPTURE RESTANTE :,VERBLEIBENDE EINDÄMMUNGSKAPAZITÄT:,,POZOSTAŁE MIEJSCE NA POJMANE JEDNOSTKI:,СВОБОДНОЕ МЕСТО В ИЗОЛЯТОРАХ:,ESPACIO DE CAPTURA RESTANTE:,
CAPTURE_CAPACITY_TOTAL,Text,,TOTAL AVAILABLE CONTAINMENT:,,CAPACITÉ TOTALE DE CONFINEMENT :,GESAMT VERFÜGBARE EINDÄMMUNG:,,CAŁKOWITA DOSTĘPNA POJEMNOŚĆ IZOLACJI:,ОБЩИЙ ОБЪЕМ ИЗОЛЯТОРОВ:,ESPACIO TOTAL DE CONTENCIÓN:,
KEY_OBJECTIVE_YUGG_EXALTED,Text,,MERGE THE EXALTED WITH THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,FUSIONNEZ L'EXALTÉ AVEC LE RÉCEPTACLE YUGGOTHIEN NEUTRALISÉ,DIE ERHABENE MIT DEM KAMPFUNFÄHIGEN YUGGOTHISCHEN REZEPTAKEL VERSCHMELZEN,,POŁĄCZ WYNIOSŁĄ Z OBEZWŁADNIONYM JUGGOTIAŃSKIM RECEPTAKLEM,ОБЪЕДИНИТЬ ВОЗВЫШЕННУЮ С ВЫВЕДЕННЫМ ИЗ СТРОЯ ЮГГОТИАНСКИМ ДВОЙНИКОМ,FUSIONA AL EXALTADO CON EL RECEPTÁCULO YUGGOTHIANO INCAPACITADO,
KEY_OBJECTIVE_YUGG_INJECTOR,Text,,DEPLOY THE INJECTOR OVER THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,DÉPLOYEZ L'INJECTEUR SUR LE RÉCEPTACLE YUGGOTHIEN NEUTRALISÉ,DEN INJEKTOR AM KAMPFUNFÄHIGEN YUGGOTHISCHEN REZEPTAKEL PLATZIEREN,,ROZMIEŚĆ INIEKTOR NAD OBEZWŁADNIONYM JUGGOTIAŃSKIM RECEPTAKLEM,РАСПОЛОЖИТЕ ИНЪЕКТОР НАД ВЫВЕДЕННЫМ ИЗ СТРОЯ ЮГГОТИАНСКИМ ДВОЙНИКОМ,DESPLIEGA EL INYECTOR SOBRE EL RECEPTÁCULO YUGGOTHIANO INCAPACITADO,
KEY_OBJECTIVE_YUGG_NUKE,Text,,DEPLOY THE BEACON OVER THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,DÉPLOYEZ LA BALISE SUR LE RÉCEPTACLE YUGGOTHIEN NEUTRALISÉ,DEN SIGNALGEBER AM KAMPFUNFÄHIGEN YUGGOTHISCHEN REZEPTAKEL PLATZIEREN,,ROZMIEŚĆ SYGNALIZATOR NAD OBEZWŁADNIONYM JUGGOTIAŃSKIM RECEPTAKLEM,УСТАНОВИТЕ МАЯК НАД ВЫВЕДЕННЫМ ИЗ СТРОЯ ЮГГОТИАНСКИМ ДВОЙНИКОМ,DESPLIEGA LA BALIZA SOBRE EL RECEPTÁCULO YUGGOTHIANO INCAPACITADO,
KEY_OBJECTIVE_CONVINCE_SPARKS,Text,,APPROACH MR. SPARK AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ M. SPARK ET PERSUADEZ-LE DE VOUS SUIVRE,"GEHE AUF MR. SPARK ZU UND ÜBERZEUGE IHN, MIT DIR ZU KOMMEN",,"PODEJDŹ DO PANA SPARKA I PRZEKONAJ GO, BY POSZEDŁ Z TOBĄ",ПОДОЙДИТЕ К МИСТЕРУ СПАРКУ И УБЕДИТЕ ЕГО ПОЙТИ С ВАМИ,ACÉRCATE AL SEÑOR SPARK Y CONVÉNCELE DE IR CONTIGO,
KEY_OBJECTIVE_CONVINCE_FELIPE,Text,,APPROACH FELIPE AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ FELIPE ET PERSUADEZ-LE DE VOUS SUIVRE,"GEHE AUF FELIPE ZU UND ÜBERZEUGE IHN, MIT DIR ZU KOMMEN",,"PODEJDŹ DO FELIPE I PRZEKONAJ GO, BY POSZEDŁ Z TOBĄ",ПОДОЙДИТЕ К ФЕЛИПЕ И УБЕДИ ЕГО ПОЙТИ С ВАМИ,ACÉRCATE A FELIPE Y CONVÉNCELE DE IR CONTIGO,
KEY_OBJECTIVE_CONVINCE_HELENA,Text,,APPROACH HELENA AND CONVINCE HER TO COME WITH YOU,,APPROCHEZ HELENA ET PERSUADEZ-LA DE VOUS SUIVRE,"GEHE AUF HELENA ZU UND ÜBERZEUGE SIE, MIT DIR ZU KOMMEN",,"PODEJDŹ DO HELENY I PRZEKONAJ JĄ, BY POSZŁA Z TOBĄ",ПОДОЙДИТЕ К ДОКТОРУ ХЕЛЕНЕ И УБЕДИТЕ ЕЕ ПОЙТИ С ВАМИ,ACÉRCATE A HELENA Y CONVÉNCELE DE IR CONTIGO,
KEY_OBJECTIVE_CONVINCE_CALENDAR,Text,,APPROACH DR. KALINDAR AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ DR. KALINDAR ET PERSUADEZ-LE DE VOUS SUIVRE,"GEHE AUF DR. KALINDAR ZU UND ÜBERZEUGE IHN, MIT DIR ZU KOMMEN",,"PODEJDŹ DO DR. KALINDARA I PRZEKONAJ GO, BY POSZEDŁ Z TOBĄ",ПОДОЙДИТЕ К ДОКТОРУ КАЛИНДАРУ И УБЕДИТЕ ЕГО ПОЙТИ С ВАМИ,ACÉRCATE AL DR. KALINDAR  Y CONVÉNCELE DE IR CONTIGO,
PROTECT_THE_CYCLOPS,Text,,PROTECT THE CYCLOPS,,PROTÉGEZ LE CYCLOPE,SCHÜTZE DEN ZYKLOPEN,,CHROŃ CYKLOPA,ЗАЩИЩАЙТЕ ЦИКЛОПА,PROTEGE EL CÍCLOPE,
KEY_BADLY_INJURED_OPERATIVE,Text,,BADLY INJURED,,GRAVEMENT BLESSÉ,SCHWER VERWUNDET,,POWAŻNIE RANNY,ТЯЖЕЛОЕ РАНЕНИЕ,HERIDO GRAVEMENTE,
KEY_MISSION_AMBUSH_BRIEFING_DESCRIPTION,Text,,Survive 3 turns and evacuate.,,Survivre 3 tours et évacuer.,Überlebe 3 Runden und evakuiere.,,Przetrwaj 3 tury i ewakuuj się.,Продержитесь 3 хода и эвакуируйтесь.,Sobrevive 3 turnos y evacúa.,
TFTV_KEY_KILL_SCYLLA_OBJECTIVE,Text,,KILL THE SCYLLA,,TUEZ LA SCYLLA,TÖTE DIE SCYLLA,,ZABIJ SCYLLĘ,УНИЧТОЖИТЬ СЦИЛЛУ,MATA A LA SCYLLA,
TFTV_KEY_KILL_REVENANT_OBJECTIVE,Text,,DEFEAT THE REVENANT. RESEARCH PROGRESS:,,VAINCRE LE REVENANT. AVANCEMENT DE LA RECHERCHE :,BESIEGE DEN REVENANTEN. FORSCHUNGSFORTSCHRITT:,,POKONAJ REVENANTA. POSTĘP BADAŃ:,УНИЧТОЖИТЬ ВОЗВРАЩЕНЦА. ПРОГРЕСС ИССЛЕДОВАНИЯ:,DERROTA AL REVENANT. PROGRESO DE INVESTIGACIÓN:,
TFTV_KEY_KILL_REVENANT_OBJECTIVE_SUMMARY,Text,,DEFEAT THE REVENANT,,VAINCRE LE REVENANT,BESIEGE DEN REVENANTEN,,POKONAJ REVENANTA,УНИЧТОЖИТЬ ВОЗВРАЩЕНЦА,DERROTA AL REVENANT,
TFTV_KEY_CAPTURE_REVENANT_OBJECTIVE,Text,,CAPTURE A REVENANT,,CAPTURER LE REVENANT,FANGE EINEN REVENANTEN,,POJMAJ REVENANTA,ЗАХВАТИТЬ ВОЗВРАЩЕНЦА,CAPTURA AL REVENANT,
TFTV_KEY_CAPTURE_SCYLLA_OBJECTIVE,Text,,CAPTURE A SCYLLA,,CAPTURER UNE SCYLLA,FANGE EINE SCYLLA,,POJMAJ SCYLLĘ,ЗАХВАТИТЬ СЦИЛЛУ,CAPTURA A LA SCYLLA,
TFTV_KEY_CAPTURE_VIRUS_OBJECTIVE,Text,,CAPTURE A PANDORAN WITH VIRUS ABILITY,,CAPTURER UN PANDORIEN DOTÉ D'APTITUDES VIRALES,FANGE EINEN PANDORANER MIT VIRUSFÄHIGKEIT,,POJMAJ PANDORANA Z UMIEJĘTNOŚCIĄ WIRUSA,ЗАХВАТИТЬ ПАНДОРАНА-РАСПРОСТРАНИТЕЛЯ ВИРУСА,CAPTURA UN PANDORA CON LA HABILIDAD VIRUS,
TFTV_KEY_CAPTURE_SIREN_OBJECTIVE,Text,,CAPTURE A SIREN,,CAPTURER UNE SIRÈNE,FANGE EINE SIRENE,,POJMAJ SYRENĘ,ЗАХВАТИТЬ СИРЕНУ,CAPTURA UNA SIRENA,
TFTV_KEY_CAPTURE_PSYCHIC_OBJECTIVE,Text,,CAPTURE A PANDORAN WITH PSYCHIC ABILITY,,CAPTURER UN PANDORIEN DOTÉ D'APTITUDES PSYCHIQUES,FANGE EINEN PANDORANER MIT PSYCHISCHER FÄHIGKEIT,,POJMAJ PANDORANA Z UMIEJĘTNOŚCIĄ PSIONICZNĄ,ЗАХВАТИТЬ ПАНДОРАНА-ПСИОНИКА,CAPTURA UN PANDORA CON LA HABILIDAD PSÍQUICA,
TFTV_KEY_CAPTURE_GOO_OBJECTIVE,Text,,CAPTURE A PANDORAN WITH GOO ABILITY,,CAPTURER UN PANDORIEN DOTÉ D'APTITUDES DE GELÉE,FANGE EINEN PANDORANER MIT DER GOO-FÄHIGKEIT,,POJMAJ PANDORANA Z UMIEJĘTNOŚCIĄ MAZI,ЗАХВАТИТЬ ПАНДОРАНА-РАСПРОСТРАНИТЕЛЯ СЛИЗИ,CAPTURA UN PANDORA CON LA HABILIDAD GOO,
TFTV_KEY_SECONDARY_OBJECTIVES,Text,,SECONDARY OBJECTIVES,,OBJECTIFS SECONDAIRES,SEKUNDÄRE ZIELE,,CELE DRUGORZĘDNE,ВТОРИЧНЫЕ ЦЕЛИ,OBJETIVOS SECUNDARIOS,
TFTV_KEY_OBJECTIVE_ACCOMPLISHED,Text,,OBJECTVE ACCOMPLISHED,,MISSION ACCOMPLIE,ZIEL ERREICHT,,CEL WYKONANY,ЦЕЛЬ ДОСТИГНУТА,OBJETIVO CONSEGUIDO,
TFTV_KEY_NEW_SECONDARY_OBJECTIVE,Text,,NEW SECONDARY OBJECTIVE,,NOUVEL OBJECTIF SECONDAIRE,NEUES SEKUNDÄRZIEL,,NOWY CEL DRUGORZĘDNY,НОВАЯ ВТОРИЧНАЯ ЦЕЛЬ,NUEVO OBJETIVO SECUNDARIO,
TFTV_KEY_BASE_DEFENSE_GENERATORS,Text,,"Generators at {0}%, can be vented {1} times",,"Générateurs à {0}%, peuvent être ventilés {1} fois","Generatoren bei {0}%, können {1} Mal entlüftet werden",,"Generatory na poziomie {0}%, można odpowietrzyć jeszcze {1} razy","Уровень энергии {0}%, допустимое число запусков аварийной вентиляции: {1}","Generadores a {0}%, pueden ser ventilados {1} veces",
TFTV_KEY_CAPTURE_FREE_SLOTS,Text,,Free capture slots: ,,Emplacements de capture libres : ,Freie Sicherungsplätze:,,Wolne miejsca na pojmane jednostki: ,СВОБОДНОЕ МЕСТО ДЛЯ ЗАХВАТА:,Espacios de captura libres:,
BASEDEFENSE_VENTING_PROMPT0,Text,,Activate Emergency Venting? This will stop the incoming wave of Pandoran reinforcements. You will not be able to use this console again. The <b>next time</b> you use a console it will damage the Power Generators and cause explosions and fires around the base.,,"Activer la ventilation d’urgence ? Cela arrêtera la vague de renforts Pandoriens. Vous ne pourrez plus utiliser cette console. La <b>prochaine fois</b> que vous utiliserez une console, elle endommagera les générateurs et provoquera des explosions et des incendies dans toute la base.",Notentlüftung aktivieren? Dadurch wird die anrückende Welle pandoranischer Verstärkung gestoppt. Diese Konsole kann danach nicht mehr benutzt werden. Bei der <b>nächsten</b> Benutzung einer Konsole werden die Stromgeneratoren beschädigt und es kommt zu Explosionen und Bränden in der Basis.,,"Aktywować awaryjne odpowietrzanie? Zatrzyma to nadchodzącą falę pandorańskich posiłków. Nie będzie można ponownie użyć tej konsoli. <b>Następnym razem</b>, gdy użyjesz konsoli, uszkodzi ona generatory zasilania i spowoduje eksplozje oraz pożary w bazie.",Активировать аварийную вентиляцию? Это остановит надвигающуюся волну Пандоранских подкреплений. Вы не сможете использовать эту панель управления еще раз. <b>Дальнейшее</b> использование панелей управления приведет к повреждению Электрогенератора и вызовет пожары и взрывы по всей базе!,¿Activar ventilación de emergencia? Esto detendrá a los refuerzos Pandora. No podrás usar esta consola de nuevo. La <b>próxima vez</b> que uses la consola dañará los Generadores y causará explosiones e incencios por la base.,
TFTV_KEY_CAPTURE_MIST_OBJECTIVE,Text,,CAPTURE A MIST EMITTING PANDORAN ,,CAPTURER UN PANDORIEN ÉMETTANT DE LA BRUME,FANGE EINEN NEBELERZEUGENDEN PANDORANER,,SCHWYTAJ PANDORANA EMITUJĄCEGO MGŁĘ,"ЗАХВАТИТЕ ПАНДОРАНА, УМЕЮЩЕГО ИСПУСКАТЬ ТУМАН",CAPTURA AL PANDORA QUE EMITE LA NIEBLA,
